2721920058185Javier                                            Soto Estrada                                      2010-12-18M+502 4982-6606javier.sotoestrada@gmail.com                                                                        O+ 
2295995789002Sofia                                             Fuentes Vargas                                    2002-01-01F+502 8128-5988sofia.fuentesvargas@gmail.com                                                                       O- 
2619210705408Ricardo                                           Vargas Garcia                                     2018-12-16M+502 7846-5806ricardo.vargasgarcia@gmail.com                                                                      A+ 
2375438684578Isabel                                            Aguilar Castaneda                                 1984-05-04F+502 4291-5628isabel.aguilarcastaneda@gmail.com                                                                   A- 
2117468053826Roberto                                           Garcia Rios                                       2011-12-04M+502 7850-5195roberto.garciarios@gmail.com                                                                        B+ 
2455258437338Camila                                            Guzman Castillo                                   2005-03-16F+502 4805-9737camila.guzmancastillo@gmail.com                                                                     B- 
2102311633874Jose                                              Hernandez Ramirez                                 1969-02-13M+502 5419-4880jose.hernandezramirez@gmail.com                                                                     AB+
2131544189142Andrea                                            Garcia Alvarez                                    1969-07-06F+502 6154-0807andrea.garciaalvarez@gmail.com                                                                      AB-
2477995119808Francisco                                         Estrada Lopez                                     1973-02-02M+502 5842-0607francisco.estradalopez@gmail.com                                                                    O+ 
2723817867492Laura                                             Castaneda Aguilar                                 1998-04-14F+502 8534-1378laura.castanedaaguilar@gmail.com                                                                    O- 
2716060889311Hector                                            Cruz Reyes                                        1997-10-23M+502 8300-4808hector.cruzreyes@gmail.com                                                                          A+ 
2517984835258Isabel                                            Castillo Vargas                                   2011-02-22F+502 6747-0302isabel.castillovargas@gmail.com                                                                     A- 
2100309994193Pedro                                             Ramos Ramirez                                     1981-04-05M+502 4372-7268pedro.ramosramirez@gmail.com                                                                        B+ 
2228731108854Claudia                                           Reyes Morales                                     1955-01-09F+502 5905-7728claudia.reyesmorales@gmail.com                                                                      B- 
2289061424453Alejandro                                         Lopez Mendoza                                     1965-09-23M+502 6348-1984alejandro.lopezmendoza@gmail.com                                                                    AB+
2098408887375Maria                                             Vargas Ruiz                                       1972-03-25F+502 7458-4858maria.vargasruiz@gmail.com                                                                          AB-
2968983066744Hector                                            Alvarez Perez                                     2009-06-28M+502 8330-0437hector.alvarezperez@gmail.com                                                                       O+ 
2386751794304Patricia                                          Salazar Morales                                   1963-06-24F+502 5409-1252patricia.salazarmorales@gmail.com                                                                   O- 
2340647372644Francisco                                         Rios Ramos                                        2013-07-05M+502 5779-1573francisco.riosramos@gmail.com                                                                       A+ 
2882672472894Claudia                                           Lopez Ruiz                                        1976-11-06F+502 7350-0871claudia.lopezruiz@gmail.com                                                                         A- 
