"REPORTE: Reporte_Pacientes_Reporte completo de pacientes"
"Fecha de Generación: 25/08/2026 15:09:29"

"No. Identificación","Nombres","Apellidos","Fecha Nacimiento","Género","Celular","Tipo Sangre"
"2721920058185","Javier","Soto Estrada","18/12/2010","M","+502 4982-6606","O+"
"2295995789002","Sofia","Fuentes Vargas","01/01/2002","F","+502 8128-5988","O-"
"2619210705408","Ricardo","Vargas Garcia","16/12/2018","M","+502 7846-5806","A+"
"2375438684578","Isabel","Aguilar Castaneda","04/05/1984","F","+502 4291-5628","A-"
"2117468053826","Roberto","Garcia Rios","04/12/2011","M","+502 7850-5195","B+"
"2455258437338","Camila","Guzman Castillo","16/03/2005","F","+502 4805-9737","B-"
"2102311633874","Jose","Hernandez Ramirez","13/02/1969","M","+502 5419-4880","AB+"
"2131544189142","Andrea","Garcia Alvarez","06/07/1969","F","+502 6154-0807","AB-"
"2477995119808","Francisco","Estrada Lopez","02/02/1973","M","+502 5842-0607","O+"
"2723817867492","Laura","Castaneda Aguilar","14/04/1998","F","+502 8534-1378","O-"
"2716060889311","Hector","Cruz Reyes","23/10/1997","M","+502 8300-4808","A+"
"2517984835258","Isabel","Castillo Vargas","22/02/2011","F","+502 6747-0302","A-"
"2100309994193","Pedro","Ramos Ramirez","05/04/1981","M","+502 4372-7268","B+"
"2228731108854","Claudia","Reyes Morales","09/01/1955","F","+502 5905-7728","B-"
"2289061424453","Alejandro","Lopez Mendoza","23/09/1965","M","+502 6348-1984","AB+"
"2098408887375","Maria","Vargas Ruiz","25/03/1972","F","+502 7458-4858","AB-"
"2968983066744","Hector","Alvarez Perez","28/06/2009","M","+502 8330-0437","O+"
"2386751794304","Patricia","Salazar Morales","24/06/1963","F","+502 5409-1252","O-"
"2340647372644","Francisco","Rios Ramos","05/07/2013","M","+502 5779-1573","A+"
"2882672472894","Claudia","Lopez Ruiz","06/11/1976","F","+502 7350-0871","A-"
"2037402630266","Alejandro","Cruz Martinez","24/08/1992","M","+502 4174-8896","B+"
"2357988257458","Mariana","Castaneda Ruiz","19/07/2018","F","+502 8312-4196","B-"
"2809791989778","Francisco","Ramirez Estrada","21/01/1990","M","+502 6551-9605","AB+"
"2470891522508","Laura","Estrada Gomez","21/12/1957","F","+502 6183-9569","AB-"
"2021851622302","Miguel","Morales Vargas","22/01/1976","M","+502 7254-2438","O+"
"2667649694864","Patricia","Salazar Cruz","04/04/1995","F","+502 7949-5108","O-"
"2208061961108","Carlos","Salazar Ramos","17/07/1960","M","+502 7987-8003","A+"
"2793331521377","Andrea","Lopez Ramirez","13/02/2018","F","+502 5681-7209","A-"
"2776018107491","Roberto","Lopez Rios","10/09/2010","M","+502 7761-3671","B+"
"2840881357201","Camila","Estrada Guzman","26/01/2010","F","+502 6191-4142","B-"
"2446160536441","Luis","Gonzalez Alvarez","02/03/1983","M","+502 8708-7343","AB+"
"2992796075683","Claudia","Cruz Morales","11/02/1993","F","+502 7359-0095","AB-"
"2372923391073","Andres","Aguilar Ramirez","19/08/1999","M","+502 8048-0087","O+"
"2556823075992","Valentina","Mendoza Ruiz","07/06/1997","F","+502 5528-0972","O-"
"2658796952336","Fernando","Aguilar Castillo","26/11/2017","M","+502 8894-5584","A+"
"2797933616646","Valentina","Garcia Alvarez","14/10/1981","F","+502 6080-4855","A-"
"2362071484478","Jose","Ramos Fuentes","19/05/2016","M","+502 7165-6814","B+"
"2020407849485","Paola","Castaneda Salazar","03/03/1999","F","+502 4011-2539","B-"
"2209065059134","Pedro","Castillo Garcia","09/10/1956","M","+502 7499-2685","AB+"
"2568889544892","Carmen","Mendoza Gonzalez","07/02/1990","F","+502 7606-3750","AB-"
"2291694288854","Miguel","Hernandez Martinez","17/02/2014","M","+502 8158-4593","O+"
"2974050014568","Elena","Castillo Vargas","08/09/2004","F","+502 8894-8727","O-"
"2691209174781","Manuel","Lopez Aguilar","22/11/1990","M","+502 5900-1741","A+"
"2060987972544","Lucia","Rios Gomez","12/04/1982","F","+502 8433-2948","A-"
"2489287084852","Roberto","Martinez Reyes","23/02/1990","M","+502 4723-6475","B+"
